"DNI_CLI","ID_PROV","NOMBRE","APELLIDO","CONTACTO","DOMICILIO","CIUDAD","Disponibilidad","Email"
"87539","1","German","Mendez","1111111","Chubut 190","San Rafael","0","gm@hotmail.com"
"111222","1","Richard","Winters","1111112","Siempreviva 512","Palermo","1","dickwinters@hotmail.com"
"288236","12","Fernando","Fernandez","333222","Las toninas 198","San Rafael","1","ff@hotmail.com"
"333442","16","Anastasia","Gomez","6666666","Jilguero 123","Maipu","1","anastasiag@hotmail.com"
"333444","12","Cira","Ojeda","33334","Barrio Militar 23","Godoy","1","cira@hotmail.com"
"334566","12","Nataly","Rodas","887799998","San Martin 990","Mendoza","1","nr@hotmail.com"
"999000","12","Charlotte","Cannigia","90009","San fernando 8890","Mendoza","1","chcgg@hotmail.com"
"id_cob","cobertura"
"1","SWISS Medical"
"2","OSDE"
"3","IOSFA"
"4","Medife"
"5","SIN Obra Social"
"ID_COMPRA","ID_PROVEEDOR","ID_PAGO","FECHA"
"1","847465","4","2025-02-13"
"2","847465","4","2025-02-12"
"3","6667423","3","2025-02-13"
"4","6667423","1","2025-02-10"
"5","6667423","1","2025-02-17"
"6","847465","3","2025-02-06"
"7","838747","3","2025-02-03"
"8","666775","1","2025-02-21"
"9","838747","4","2025-02-21"
"10","847465","4","2025-02-21"
"id_cristal","tipo_cristal","precio"
"1","Monofocal","10000.00"
"2","Bifocal","15000.00"
"3","Progresivo","20000.00"
"ID_COMPRA","ID_PROD","CANTPROD","TOTALCOMPRA"
"2","1011","60","210000.00"
"2","1017","78","1326000.00"
"2","1012","100","1500000.00"
"3","1010","90","270000.00"
"4","1015","150","375000.00"
"5","1016","30","600000.00"
"6","1019","10","200000.00"
"7","1018","15","345000.00"
"8","1020","19","285000.00"
"9","1021","25","450000.00"
"9","1019","10","200000.00"
"10","1022","40","800000.00"
"1","1022","10","200000.00"
"1","1013","10","5000.00"
"ID_VENTA","ID_PROD","CANTPROD","TOTALVENTA"
"1","1011","1","9000.00"
"1","1013","1","6000.00"
"1","1016","1","45000.00"
"2","1018","1","55000.00"
"3","1019","1","45000.00"
"4","1019","1","45000.00"
"5","1019","1","45000.00"
"6","1017","1","35000.00"
"7","1019","1","45000.00"
"7","1013","1","6000.00"
"8","1015","1","6000.00"
"8","1019","1","45000.00"
"9","1019","1","45000.00"
"10","1018","1","55000.00"
